ID,ORGN,DSTN
572,GORDONS BAY,SOMERSET WEST
573,GORDONS BAY,"SOMERSET MALL,SOMERSET WEST"
574,SOMERSET WEST,MACASSAR
575,FIRGROVE,SOMERSET WEST
576,MACASSAR,"LOURENSFORD,SOMERSET WEST"
577,MACASSAR,"SOMERSET MALL,SOMERSET WEST"
578,NYANGA,MITCHELLS PLAIN
579,NYANGA,BELLVILLE
580,NYANGA,KHAYELITSHA
581,TYGERVALLEY SHOPPING CENTRE,BELLVILLE
582,TYGERVALLEY SHOPPING CENTRE,DURBANVILLE
583,MITCHELLS PLAIN,BELLVILLE
584,HEIDEVELD,ATHLONE
585,NYANGA,TYGERBERG HOSPITAL
586,MANENBERG,CAPE TOWN
587,EINDHOVEN,UNIBELL
588,DELFT SOUTH,BELLVILLE
589,VOORBRUG,UNIBELL
590,MUTUAL STATION,LANGA
591,LANGA,NYANGA
592,DELFT SOUTH,ELSIES RIVER
593,PHILIPPI,CLAREMONT
594,NYANGA,SEA POINT
595,GRASSY PARK,HANOVER PARK
596,GUGULETU,SEA POINT
597,GUGULETU,CAPE TOWN
598,LANGA,SEA POINT
599,RETREAT,LAVENDER HILL
600,RETREAT,REATREAT
601,RETREAT,WYNBERG
602,RETREAT,POLLSMOOR
603,RETREAT,WYNBERG
604,RETREAT,FISH HOEK
605,RETREAT,WYNBERG
606,KOEBERG RAILWAY STATION,SUMMERGREENS
607,KOEBERG RAILWAY STATION,KILLARNEY
608,KOEBERG RAILWAY STATION,PAARDEN EILAND
609,KOEBERG RAILWAY STATION,YSTERPLAAT RAILWAY STATION
610,KOEBERG RAILWAY STATION,MONTAGUE GARDENS
611,WOODSTOCK,CAPE TOWN(STATION DECK)
612,GORDONS BAY,TEMPERANCE TOWN
613,RATANGA JUNCTION CENTURY CITY,KOEBERG RAILWAY STATION
614,RATANGA JUNCTION CENTURY CITY,KILLARNEY
615,WYNBERG,KENILWORTH CENTRE
616,DELFT SOUTH,UNIBELL
617,CAPE TOWN,HEIDEVELD
618,CAPE TOWN,BRIDGETOWN
619,CAPE TOWN,BRIDGETOWN
620,SILVERTOWN,ATHLONE
621,SILVERTOWN,ATHLONE
622,SILVERTOWN,ATHLONE
623,BRIDGETOWN,ATHLONE
624,BRIDGETOWN,ATHLONE
625,BRIDGETOWN,ATHLONE
626,SILVERTOWN,CAPE TOWN
627,SILVERTOWN,CAPE TOWN
628,SILVERTOWN,CAPE TOWN
629,SILVERTOWN,CAPE TOWN
630,SILVERTOWN,CAPE TOWN
