ROUTECODE,ROUTENAME,STOP_TYPE,STOP_DES,CLASSIFICA,X,Y
APD8,PHILIPPI EAST SAP to WYNBERG,FIRST,On Japhta K Masemola Road after Luzuko,Stop,18.6262353404422,-34.0031154556458
APD8,PHILIPPI EAST SAP to WYNBERG,LAST,Wynberg,Station,18.4723187782022,-34.005210977062
APD9,MOWBRAY to PHILIPPI EAST SAP,FIRST,Mowbray,Station,18.4736745575384,-33.9485832827389
APD9,MOWBRAY to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APE0,BELLVILLE A LANE to PHILIPPI EAST SAP,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
APE0,BELLVILLE A LANE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APE1,PHILIPPI EAST SAP to CENTURY CITY,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APE1,PHILIPPI EAST SAP to CENTURY CITY,LAST,Century City,Station,18.5064457582624,-33.8915169340585
APE2,PHILIPPI EAST SAP to WYNBERG,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APE2,PHILIPPI EAST SAP to WYNBERG,LAST,Wynberg,Station,18.4723187782022,-34.005210977062
APE4,PHILIPPI EAST SAP to HOUT BAY HARBOUR,FIRST,On Nondwana Road after Ngwamza,Stop,18.6167436588546,-34.0076028794275
APE4,PHILIPPI EAST SAP to HOUT BAY HARBOUR,LAST,On Marlin Crescent 1st after Spinner (Hangberg Terminus),Stop,18.3422947518299,-34.0539779165695
APE5,HOUT BAY HARBOUR to PHILIPPI EAST SAP,FIRST,On Marlin Crescent 2nd after Spinner,Stop,18.3421410371621,-34.0542475438513
APE5,HOUT BAY HARBOUR to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APE6,PHILIPPI EAST SAP to KILLARNEY,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APE6,PHILIPPI EAST SAP to KILLARNEY,LAST,Killarney,Station,18.525361880339,-33.8333067217032
APE7,KILLARNEY to PHILIPPI EAST SAP,FIRST,Killarney,Station,18.525361880339,-33.8333067217032
APE7,KILLARNEY to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APE8,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,FIRST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APE8,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APE9,PHILIPPI EAST SAP to BELLVILLE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APE9,PHILIPPI EAST SAP to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
APF0,PHILIPPI EAST SAP to SANLAM CENTRE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APF0,PHILIPPI EAST SAP to SANLAM CENTRE,LAST,On Voortrekker Road after Quarry,Stop,18.641562793951,-33.9025321255082
APF2,NYANGA TERM to BOYSTOWN,FIRST,Nyanga Central,Station,18.5833583259872,-33.9921954955436
APF2,NYANGA TERM to BOYSTOWN,LAST,On Sithandatu Avenue after Great Dutch,Stop,18.5866177571538,-33.9918548963222
APF3,BOYSTOWN to NYANGA TERM,FIRST,On Sithandatu Avenue after Zwelitsha,Stop,18.5862706357535,-33.9920160032523
APF3,BOYSTOWN to NYANGA TERM,LAST,Nyanga Central,Station,18.5833583259872,-33.9921954955436
APF4,NYANGA TERM to VREDEKLOOF,FIRST,Nyanga Central,Station,18.5833583259872,-33.9921954955436
APF4,NYANGA TERM to VREDEKLOOF,LAST,On Brighton Road after Stanley,Stop,18.7011960119563,-33.8388798108541
APF8,PHILIPPI EAST SAP to BELLVILLE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APF8,PHILIPPI EAST SAP to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
APG1,ELSIES RIVER to PHILIPPI EAST SAP,FIRST,Elsies River,Station,18.5679415553849,-33.9117530158546
