route_number,day_type,Civic Centre,Adderley,Groote Kerk,Dorp,Upper Long,Lower Kloof,Ludwigs Garden,Belle Ombre,St Michaels,Cotswold,Higgo,Kloof Nek,Comrie,Atholl,Woodford,Quebec,Camps Bay
107,Sundays and Public Holidays,15:43,15:47,15:51,15:55,15:56,15:58,16:00,16:02,16:04,16:05,16:07,16:08,16:11,16:12,16:13,16:14,16:16
107,Sundays and Public Holidays,16:01,16:05,16:09,16:13,16:14,16:16,16:18,16:20,16:22,16:23,16:25,16:26,16:29,16:30,16:31,16:32,16:34
107,Sundays and Public Holidays,16:19,16:23,16:27,16:31,16:32,16:34,16:36,16:38,16:40,16:41,16:43,16:44,16:47,16:48,16:49,16:50,16:52
107,Sundays and Public Holidays,16:37,16:41,16:45,16:49,16:50,16:52,16:54,16:56,16:58,16:59,17:01,17:02,17:05,17:06,17:07,17:08,17:10
107,Sundays and Public Holidays,16:55,16:59,17:03,17:07,17:08,17:10,17:12,17:14,17:16,17:17,17:19,17:20,17:23,17:24,17:25,17:26,17:28
107,Sundays and Public Holidays,17:13,17:17,17:21,17:25,17:26,17:28,17:30,17:32,17:34,17:35,17:37,17:38,17:41,17:42,17:43,17:44,17:46
107,Sundays and Public Holidays,17:31,17:35,17:39,17:43,17:44,17:46,17:48,17:50,17:52,17:53,17:55,17:56,17:59,18:00,18:01,18:02,18:04
107,Sundays and Public Holidays,17:49,17:53,17:57,18:01,18:02,18:04,18:06,18:08,18:10,18:11,18:13,18:14,18:17,18:18,18:19,18:20,18:22
107,Sundays and Public Holidays,18:07,18:11,18:15,18:19,18:20,18:22,18:24,18:26,18:28,18:29,18:31,18:32,18:35,18:36,18:37,18:38,18:40
107,Sundays and Public Holidays,18:25,18:29,18:33,18:37,18:38,18:40,18:42,18:44,18:46,18:47,18:49,18:50,18:53,18:54,18:55,18:56,18:58
107,Sundays and Public Holidays,18:43,18:47,18:51,18:55,18:56,18:58,19:00,19:02,19:04,19:05,19:07,19:08,19:11,19:12,19:13,19:14,19:16
107,Sundays and Public Holidays,19:01,19:05,19:09,19:13,19:14,19:16,19:18,19:20,19:22,19:23,19:25,19:26,19:29,19:30,19:31,19:32,19:34
107,Sundays and Public Holidays,19:19,19:23,19:27,19:31,19:32,19:34,19:36,19:38,19:40,19:41,19:43,19:44,19:47,19:48,19:49,19:50,19:52
